review_id,customer_name,age,brand,model,price_usd,price_local,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,Cluster,Cluster_Name
1,3762,45,4,15,337.31,41669,6,83.0,2.0,0,4,2,265,True,1,1,3,2,1,1,1,3,Gaming Phones
2,9834,18,4,15,307.78,17987,2,5.7,4.0,2,1,3,523,True,3,2,4,3,2,5,3,0,Budget Phones
3,34216,27,1,10,864.53,45011,6,83.0,4.0,2,4,2,360,True,3,5,3,2,4,8,0,3,Gaming Phones
4,9946,19,6,17,660.94,31678,0,3.67,3.0,2,5,0,462,False,1,3,2,1,2,3,1,2,Premium Phones
5,45298,38,2,0,792.13,21293,2,5.7,3.0,1,1,3,1069,True,3,3,2,2,1,0,2,2,Premium Phones
6,25640,38,0,19,948.79,22036,2,5.7,5.0,2,1,3,787,False,5,4,5,5,4,6,0,0,Budget Phones
7,16232,40,3,8,420.13,29857,0,3.67,3.0,2,5,0,512,False,3,3,2,1,2,2,4,2,Premium Phones
8,19629,39,0,21,1443.76,8692,1,1.53,2.0,0,0,0,632,True,2,1,2,2,2,3,1,2,Premium Phones
9,37509,32,4,15,275.73,35953,4,0.93,4.0,2,3,1,169,False,4,3,2,3,3,8,4,0,Budget Phones
10,43712,31,3,9,545.57,10928,1,1.53,3.0,2,0,0,422,True,2,2,3,3,2,4,2,0,Budget Phones
11,646,20,4,15,462.3,25144,5,0.78,3.0,1,6,0,624,True,4,1,3,5,2,0,4,1,Mid Range Phones
12,4682,30,6,5,495.45,15825,3,1.38,2.0,1,2,0,16,True,1,2,1,2,1,2,1,2,Premium Phones
13,18297,18,2,6,404.64,18554,2,5.7,5.0,2,1,3,797,True,5,5,3,5,5,7,0,0,Budget Phones
14,28892,32,4,16,247.88,14322,3,1.38,2.0,0,2,0,668,False,1,3,2,1,2,2,4,2,Premium Phones
15,32530,39,5,2,1146.49,28734,5,0.78,3.0,1,6,0,1032,True,2,3,1,2,3,4,2,2,Premium Phones
16,2175,19,4,16,262.0,17754,2,5.7,2.0,1,1,3,897,False,2,1,2,2,1,3,3,2,Premium Phones
17,33285,18,1,11,1010.68,34,7,1.0,4.0,2,7,0,764,True,4,4,3,4,4,11,3,1,Mid Range Phones
18,17797,39,2,14,678.98,20626,2,5.7,2.0,2,1,3,542,True,2,1,2,1,1,1,0,2,Premium Phones
19,14172,18,6,13,432.8,36795,4,0.93,5.0,2,3,1,418,True,4,5,5,3,4,2,1,0,Budget Phones
20,4076,43,4,16,403.17,9867,1,1.53,5.0,2,0,0,495,True,5,5,5,5,4,3,4,0,Budget Phones
21,7431,46,0,21,1470.12,23619,5,0.78,1.0,0,6,0,843,False,1,1,1,1,1,3,2,2,Premium Phones
22,10637,22,2,14,567.03,16398,3,1.38,5.0,2,2,0,465,True,3,4,5,4,4,5,0,0,Budget Phones
23,35221,53,2,14,227.18,41110,6,83.0,4.0,2,4,2,719,True,4,4,3,4,4,9,1,3,Gaming Phones
24,45671,25,3,9,395.08,15110,3,1.38,4.0,2,2,0,463,False,4,4,3,3,3,10,1,0,Budget Phones
25,39088,27,0,20,997.61,5942,7,1.0,3.0,2,7,0,787,True,2,4,3,3,4,2,4,1,Mid Range Phones
26,35242,27,1,12,506.5,37318,4,0.93,2.0,0,3,1,806,False,1,3,3,1,1,3,0,2,Premium Phones
27,23185,29,2,14,673.77,17099,3,1.38,3.0,2,2,0,428,False,1,4,2,3,3,2,2,0,Budget Phones
28,991,25,6,13,236.38,34630,0,3.67,3.0,0,5,0,1026,True,3,1,1,2,2,4,2,2,Premium Phones
29,33465,29,0,18,1094.1,13373,3,1.38,3.0,2,2,0,581,True,4,3,3,3,1,3,1,0,Budget Phones
30,7117,30,5,3,1369.88,18516,6,83.0,3.0,2,4,2,778,True,3,3,3,5,3,5,2,3,Gaming Phones
31,43003,39,4,16,298.0,14559,3,1.38,1.0,0,2,0,355,True,1,1,1,1,2,0,0,2,Premium Phones
32,34349,33,1,11,1084.64,13342,3,1.38,1.0,0,2,0,622,True,2,1,1,1,1,5,1,2,Premium Phones
33,13679,25,4,16,571.75,11153,1,1.53,2.0,2,0,0,690,True,1,3,1,3,1,0,1,2,Premium Phones
34,30521,45,4,15,543.18,43052,6,83.0,1.0,0,4,2,793,False,1,1,1,1,1,3,1,3,Gaming Phones
35,34748,45,5,1,1071.57,13291,3,1.38,4.0,2,2,0,135,True,4,5,5,4,2,4,3,0,Budget Phones
36,23927,40,3,9,438.64,15427,3,1.38,4.0,2,2,0,722,False,2,2,1,3,4,8,0,0,Budget Phones
37,45196,34,0,19,906.6,45208,6,83.0,4.0,2,4,2,166,True,5,2,3,3,2,5,4,3,Gaming Phones
38,2943,21,6,17,220.43,17555,2,5.7,4.0,2,1,3,203,True,3,2,3,4,1,4,4,0,Budget Phones
39,35865,27,3,9,917.83,39837,4,0.93,1.0,0,3,1,715,True,1,1,1,1,1,2,2,2,Premium Phones
40,43638,38,5,3,1147.47,46028,6,83.0,2.0,2,4,2,361,True,1,2,2,1,2,4,4,3,Gaming Phones
41,26200,19,1,10,512.04,25525,5,0.78,3.0,2,6,0,1027,False,4,3,2,4,3,5,1,1,Mid Range Phones
42,33526,18,1,12,887.55,12505,3,1.38,2.0,1,2,0,397,False,2,1,1,1,1,2,0,2,Premium Phones
43,30294,29,5,3,924.51,5585,7,1.0,4.0,2,7,0,68,False,4,4,3,3,4,5,3,1,Mid Range Phones
44,9872,25,4,16,358.68,14880,3,1.38,4.0,2,2,0,231,True,3,2,4,2,4,3,2,0,Budget Phones
45,8867,37,6,5,637.585,1365,7,1.0,4.0,2,7,0,451,True,5,4,3,5,2,7,0,1,Mid Range Phones
46,1883,28,0,19,1292.9,13747,3,1.38,2.0,1,2,0,366,True,2,1,2,1,1,3,2,2,Premium Phones
47,2358,43,0,18,1401.76,8647,1,1.53,4.0,2,0,0,969,True,3,1,5,3,2,8,0,0,Budget Phones
48,41473,36,4,16,238.49,41166,6,83.0,3.0,1,4,2,655,False,5,3,3,2,2,2,1,3,Gaming Phones
49,39736,38,5,2,969.89,5795,7,1.0,2.0,1,7,0,253,True,3,1,1,1,2,3,2,2,Premium Phones
50,36558,31,3,7,574.7,18516,3,1.38,5.0,2,2,0,493,True,5,4,2,5,5,4,2,0,Budget Phones
51,18559,34,1,11,917.99,39841,4,0.93,1.0,0,3,1,115,True,2,2,2,1,1,2,2,2,Premium Phones
52,1933,55,0,19,637.585,8685,1,1.53,1.0,0,0,0,861,True,1,1,1,2,1,0,4,2,Premium Phones
53,4704,30,1,10,700.1,20774,2,5.7,5.0,2,1,3,548,True,3,3,4,5,4,3,3,0,Budget Phones
54,3896,48,1,12,1048.91,7921,1,1.53,3.0,2,0,0,371,True,4,2,1,5,3,4,4,0,Budget Phones
55,26892,18,3,9,473.95,42511,6,83.0,5.0,2,4,2,979,True,5,2,2,3,3,6,4,3,Gaming Phones
56,36077,39,3,7,366.5,18319,2,5.7,4.0,2,1,3,390,False,5,4,2,3,4,3,3,0,Budget Phones
57,17765,41,2,0,633.36,18516,5,0.78,1.0,0,6,0,894,True,1,1,1,1,1,3,2,2,Premium Phones
58,12821,18,2,6,355.65,14864,3,1.38,3.0,2,2,0,904,True,3,1,4,1,4,8,1,0,Budget Phones
59,21755,36,6,17,211.23,34533,0,3.67,5.0,2,5,0,39,False,4,4,3,5,3,4,4,0,Budget Phones
60,134,32,3,9,438.98,15431,3,1.38,2.0,0,2,0,1064,True,2,3,3,1,1,1,4,2,Premium Phones
61,30322,22,3,9,458.08,18516,7,1.0,3.0,1,7,0,522,True,2,1,2,1,2,4,4,2,Premium Phones
62,31350,36,4,16,270.27,41330,6,83.0,5.0,2,4,2,52,True,3,4,4,3,5,2,2,3,Gaming Phones
63,4658,48,0,19,1282.55,22981,2,5.7,3.0,2,1,3,374,True,3,2,3,3,3,3,0,0,Budget Phones
64,14401,31,0,20,1460.19,13997,3,1.38,3.0,2,2,0,167,True,1,3,3,3,4,7,1,0,Budget Phones
65,38635,18,1,10,923.35,12678,3,1.38,2.0,0,2,0,305,True,1,3,1,2,2,2,2,2,Premium Phones
66,8483,19,1,11,857.76,5299,7,1.0,4.0,2,7,0,1080,True,5,3,4,4,2,6,2,1,Mid Range Phones
67,10997,40,6,13,635.05,38324,4,0.93,4.0,2,3,1,633,True,3,5,5,3,3,4,4,0,Budget Phones
68,26945,18,4,15,300.64,36065,4,0.93,5.0,2,3,1,980,True,3,3,5,4,4,8,3,0,Budget Phones
69,25431,24,6,13,503.87,10585,1,1.53,3.0,2,0,0,277,True,2,2,2,4,4,4,3,0,Budget Phones
70,18071,21,1,11,822.18,27562,5,0.78,3.0,2,6,0,151,True,2,1,2,2,3,1,0,2,Premium Phones
71,6530,20,3,8,615.49,16727,3,1.38,5.0,2,2,0,94,False,4,4,5,3,1,10,3,0,Budget Phones
72,34674,40,0,19,1266.69,18516,3,1.38,1.0,0,2,0,127,True,2,2,1,1,1,2,4,2,Premium Phones
73,25368,30,5,4,1217.97,33996,0,3.67,1.0,0,5,0,435,True,1,1,1,1,1,2,1,2,Premium Phones
74,41993,29,2,0,656.62,20476,2,5.7,3.0,2,1,3,655,False,3,3,3,2,3,4,0,0,Budget Phones
75,39463,24,6,17,510.46,15927,3,1.38,4.0,2,2,0,665,True,3,1,4,5,2,6,4,0,Budget Phones
76,20482,18,4,16,214.6,18516,0,3.67,2.0,1,5,0,434,False,2,2,1,3,1,1,4,2,Premium Phones
77,44185,33,2,14,790.39,18516,0,3.67,4.0,2,5,0,252,True,2,5,3,5,4,5,3,0,Budget Phones
78,43686,29,2,14,752.51,39034,4,0.93,3.0,1,3,1,526,True,4,2,4,2,1,0,2,2,Premium Phones
79,15127,39,6,17,490.99,37209,4,0.93,3.0,2,3,1,428,True,2,2,2,2,5,4,0,0,Budget Phones
80,285,29,0,18,1084.41,28595,5,0.78,4.0,2,6,0,1021,True,2,5,4,3,4,3,3,1,Mid Range Phones
81,40119,27,0,20,726.56,20924,2,5.7,3.0,2,1,3,888,True,4,3,2,3,4,2,3,0,Budget Phones
82,41988,33,2,6,524.78,19435,2,5.7,3.0,1,1,3,208,True,3,2,4,3,3,3,0,0,Budget Phones
83,15999,24,6,5,565.79,43257,6,83.0,3.0,2,4,2,328,True,3,4,5,2,2,5,4,3,Gaming Phones
